source,content
"{'tags': ['arcgis pro'], 'prod_version': 'ArcGIS Pro 3.4', 'published_date': '2024-10-15T00:00:00', 'indexed_date': '2026-03-16T09:49:20', 'source': 'https://pro.arcgis.com/en/pro-app/3.4/help/data/utility-network/view-error-features.htm', 'region': ['general'], 'title': 'View errors—ArcGIS Pro | Documentation', 'chunk_sequence': 0}","Title: View errors—ArcGIS Pro | Documentation
Tags: ArcGIS Pro 3.4

# View errors
 ArcGIS Pro 3.4 | Other versions | [Help archive](/en/pro-app/latest/get-started/archived-arcgis-pro-help.htm) 
#### In this topic
 [Access errors](#GUID-A98DE427-7D9B-4F1F-B388-A2427EAE4160) [Understand error attributes](#ESRI_SECTION1_9726541BE6FF43108B559D44358B4F64) Note: For [Utility Network version](/en/pro-app/3.4/help/data/utility-network/utility-network-compatibility.htm#ESRI_SECTION1_A295577926DC4673B05E83556B8118DC) 3 and earlier, see [View error features](/en/pro-app/3.4/help/data/utility-network/view-error-features-v3.htm) . When working with a utility network, errors are generated to track inconsistencies in the network. Errors are stored in the dirty area and associations table and referenced through the Dirty Areas sublayer and Modify Associations pane. You can use the Dirty Areas sublayer and Error Inspector pane to identify which dirty areas are associated with errors. Review dirty areas to determine the specific error associated with the network feature. [Learn more about errors](/en/pro-app/3.4/help/data/utility-network/about-error-features.htm#GUID-640E1795-EA06-469C-ABA5-F424DD6F9BAF) 
## Access errors
 To access errors, the utility network layer must be present in the Contents pane. If it is not, add it to your active map from the Catalog pane. Complete the following steps to access the dirty areas sublayer: Expand the Utility Network layer in the Contents pane. The Dirty Areas sublayer is displayed."
"{'tags': ['arcgis pro'], 'prod_version': 'ArcGIS Pro 3.4', 'published_date': '2024-10-15T00:00:00', 'indexed_date': '2026-03-16T09:49:20', 'source': 'https://pro.arcgis.com/en/pro-app/3.4/help/data/utility-network/view-error-features.htm', 'region': ['general'], 'title': 'View errors—ArcGIS Pro | Documentation', 'chunk_sequence': 1}","Title: View errors—ArcGIS Pro | Documentation
Tags: ArcGIS Pro 3.4
The Dirty Areas sublayer is displayed. Right-click the Dirty Areas sublayer and click Attribute Table to open the attribute table associated with the layer. Explore the dirty areas attribute table to identify errors. Dirty areas with an error code greater than 0 are associated with features in error. Note: Associations found to be in error are displayed in the Modify Associations pane with an orange indicator next to the associated feature or object. A tooltip displays additional information for the error when you hover over the indicator in the pane. The count of associations for nonspatial junction and edge objects in error can be found in the Network Topology section of the Network Properties tab on the Utility Network Properties dialog box as Nonspatial Objects with Errors . Pop-ups have been configured with a custom expression that provides additional information to explore and interpret errors identified in a dirty area. In addition, the Error Inspector pane can be used to perform quality assurance workflows and review errors. [Learn more about how to manage errors](/en/pro-app/3.4/help/data/utility-network/manage-error-features.htm#GUID-A73561BE-B773-4FA8-8073-80A8C23A532D) 
## Understand error attributes
 There are several attribute fields in the dirty areas table that are used to identify and work with errors using a pop-up expression or the Error Inspector pane."
"{'tags': ['arcgis pro'], 'prod_version': 'ArcGIS Pro 3.4', 'published_date': '2024-10-15T00:00:00', 'indexed_date': '2026-03-16T09:49:20', 'source': 'https://pro.arcgis.com/en/pro-app/3.4/help/data/utility-network/view-error-features.htm', 'region': ['general'], 'title': 'View errors—ArcGIS Pro | Documentation', 'chunk_sequence': 2}","Title: View errors—ArcGIS Pro | Documentation
Tags: ArcGIS Pro 3.4
This information is consumed by the pop-up and Error Inspector pane to help you understand and manage error scenarios. In addition to the attributes in the dirty areas table, the pop-up expression and Error Inspector table contain the following: Error(s) —Provides a human readable error number and description. For example, a record with the Error code of 10 would display in Error(s) as 10: Invalid connectivity - The edges are different subtypes and cannot connect. The pop-up expression displays an additional attribute to provide a description of the Status field: Status Description —Provides additional information about the operation that created the dirty area. For example, a record with the Status value of 9 would display a Status Description of 1:Inserted/Updated feature, 8:Feature error in a situation in which the feature in error was modified. 
#### Error attributes in the dirty areas table
"
"{'tags': ['arcgis pro'], 'prod_version': 'ArcGIS Pro 3.4', 'published_date': '2024-10-15T00:00:00', 'indexed_date': '2026-03-16T09:49:20', 'source': 'https://pro.arcgis.com/en/pro-app/3.4/help/data/utility-network/view-error-features.htm', 'region': ['general'], 'title': 'View errors—ArcGIS Pro | Documentation', 'chunk_sequence': 3}","Title: View errors—ArcGIS Pro | Documentation
Tags: ArcGIS Pro 3.4
#### Error attributes in the dirty areas table

| # | Field alias | Description | Example value |
| --- | --- | --- | --- |
|1 | Status | The status of the dirty area. A bitmask value is used to symbolize the type of operation that created the dirty area. These are derived from the following:   * 0—Inserted/Updated feature * 1—Deleted feature * 2—Modified objects * 3—Feature error * 4—Object error * 5—Subnetwork error   As an example, a Status of 4 would be represented as 16 (2^4 = 16). Values are summated if multiple operations led to the creation of the dirty area or if multiple errors exist. A value of 0 is displayed for the dirty area when the network topology is disabled.  The Status field is not present in the Error Inspector table. | 16 |
|2 | Network Source ID | The Source ID of the class in error. This displays the class name as a string using the Source ID of the network feature in error. | Electric Distribution Line |
|3 | Feature Guid | The GUID of the network feature in error. | {C02B38E4-09A6-4BA8-83A3-E432895F7AFA} |
"
"{'tags': ['arcgis pro'], 'prod_version': 'ArcGIS Pro 3.4', 'published_date': '2024-10-15T00:00:00', 'indexed_date': '2026-03-16T09:49:20', 'source': 'https://pro.arcgis.com/en/pro-app/3.4/help/data/utility-network/view-error-features.htm', 'region': ['general'], 'title': 'View errors—ArcGIS Pro | Documentation', 'chunk_sequence': 4}","Title: View errors—ArcGIS Pro | Documentation
Tags: ArcGIS Pro 3.4
#### Error attributes in the dirty areas table

| # | Field alias | Description | Example value |
| --- | --- | --- | --- |
|4 | Error code | A bitmask value representing the error codes associated with the feature. This can represent one or more errors. An error code of 0 indicates a dirty area with no errors.  As an example, an Error code of 9 would be represented as 512 (2^9 = 512). Values are summated if multiple operations led to the creation of the dirty area or if multiple errors exist.  The Error code field is not present in the Error Inspector table. | 33554944 |
"
"{'tags': ['arcgis pro'], 'prod_version': 'ArcGIS Pro 3.4', 'published_date': '2024-10-15T00:00:00', 'indexed_date': '2026-03-16T09:49:20', 'source': 'https://pro.arcgis.com/en/pro-app/3.4/help/data/utility-network/view-error-features.htm', 'region': ['general'], 'title': 'View errors—ArcGIS Pro | Documentation', 'chunk_sequence': 5}","Title: View errors—ArcGIS Pro | Documentation
Tags: ArcGIS Pro 3.4
#### Error attributes in the dirty areas table

| # | Field alias | Description | Example value |
| --- | --- | --- | --- |
|5 | Error message | The Error message field provides additional contextual information associated with an error. This information is formatted to return the error, the Feature Source ID value of the destination feature, and the Global ID of the network feature or features in error. This is represented as: <error ID>, <destination feature source ID>, <GUID>.  The example displays a scenario in which multiple junction features share coincident geometry; displaying error 25 followed by a FeatureSourceID of 9 (Electric Distribution Device). Finally, the Global IDs are listed for coincident features violating the rule.  Note: If the error message exceeds the allotted 512 characters, the field is trimmed and a message is provided to indicate that additional rule violations exist. In this scenario, address the displayed error situation and run the validate operation again.  For Error ID 9, RuleID(s) are additionally provided. | 25,9,{DBB3570D-BA76-4CEB-BB01-64E72AB9C6FD};25,9,{C487AA2E-9A4A-468A-940F-EA2136B3AE84};25,9,{A4F75E45-B911-467E-9297-4AED2AB6A08E}; |

 [Feedback on this topic?](/feedback/)"
"{'tags': ['arcgis pro'], 'prod_version': 'ArcGIS Pro 3.6', 'published_date': '2025-09-24T00:00:00', 'indexed_date': '2026-03-16T09:49:20', 'source': 'https://pro.arcgis.com/en/pro-app/latest/help/main/welcome-to-the-arcgis-pro-app-help.htm', 'region': ['general'], 'title': 'ArcGIS Pro help—ArcGIS Pro | Documentation', 'chunk_sequence': 0}","Title: ArcGIS Pro help—ArcGIS Pro | Documentation
Tags: ArcGIS Pro 3.6

# ArcGIS Pro help
 ArcGIS Pro 3.6 | Other versions | [Help archive](/en/pro-app/latest/get-started/archived-arcgis-pro-help.htm) 
#### In this topic
 [Create projects](#ESRI_SECTION1_000BD73479864617BA9599D532D9F3AB) [Map and visualize your data](#ESRI_SECTION1_777CD8A6DFB247FB8E5E3546A5DC2F2A) [Perform analysis and geoprocessing](#ESRI_SECTION1_552F63A7CCB54C8CAA6FB66168D3A720) [Manage and edit your data](#ESRI_SECTION1_91B08BF557494B92B4DD0E07ED5DC5F6) [Use tasks to streamline your work](#ESRI_SECTION1_FE3EB20AB78944169112B46F0F19061F) [Share your work](#ESRI_SECTION1_B92A0BD38285421FA336EE3D179D58F1) [Access learning resources](#ESRI_SECTION1_67B7AE09A288466A884C98C2B54B453F) ArcGIS Pro is the essential application for creating and working with spatial data on your desktop. It provides tools to visualize, analyze, compile, and share your data. 
## Create projects
 ArcGIS Pro organizes your GIS work into [projects](/en/pro-app/3.6/help/projects/what-is-a-project.htm) . A project can contain maps, scenes, layouts, reports, charts, and other representations of spatial and nonspatial data. A project also contains connections to data resources such as system folders, databases, toolboxes, servers, styles, and your [active portal](/en/pro-app/3.6/help/projects/available-online-resources.htm) ."
"{'tags': ['arcgis pro'], 'prod_version': 'ArcGIS Pro 3.6', 'published_date': '2025-09-24T00:00:00', 'indexed_date': '2026-03-16T09:49:20', 'source': 'https://pro.arcgis.com/en/pro-app/latest/help/main/welcome-to-the-arcgis-pro-app-help.htm', 'region': ['general'], 'title': 'ArcGIS Pro help—ArcGIS Pro | Documentation', 'chunk_sequence': 1}","Title: ArcGIS Pro help—ArcGIS Pro | Documentation
Tags: ArcGIS Pro 3.6
[Create a project](/en/pro-app/3.6/help/projects/create-a-new-project.htm) from an ArcGIS Pro default template or from a [custom template](/en/pro-app/3.6/help/projects/create-your-own-project-template.htm) created by you or shared by colleagues. [Add data](/en/pro-app/3.6/help/mapping/layer-properties/add-layers-to-a-map.htm) to your project from a local or network drive, your active portal, or another connection. Add [web maps and web scenes](/en/pro-app/3.6/help/projects/add-maps-to-a-project.htm) or import maps from ArcMap . Configure ArcGIS Pro by setting [project and application options](/en/pro-app/3.6/get-started/options.htm) and [customizing the ribbon](/en/pro-app/3.6/get-started/customize-the-ribbon.htm) . 
## Map and visualize your data
 You can map your data in 2D and 3D with ArcGIS Pro . Maps display 2D data, and scenes are 3D. Learn more about using [scenes inArcGIS Pro](/en/pro-app/3.6/help/mapping/map-authoring/scenes.htm) . You can store as many maps as you need in the same project, and you can open multiple maps at once and view them side by side. [Link views](/en/pro-app/3.6/help/mapping/navigation/link-multiple-views.htm) so when you pan and zoom, the extent of all maps updates simultaneously. Move around the map quickly with [built-in navigation functions, keyboard and mouse shortcuts](/en/pro-app/3.6/help/mapping/navigation/navigation-in-arcgis-pro.htm) , and tools that allow you to explore your data."
"{'tags': ['arcgis pro'], 'prod_version': 'ArcGIS Pro 3.6', 'published_date': '2025-09-24T00:00:00', 'indexed_date': '2026-03-16T09:49:20', 'source': 'https://pro.arcgis.com/en/pro-app/latest/help/main/welcome-to-the-arcgis-pro-app-help.htm', 'region': ['general'], 'title': 'ArcGIS Pro help—ArcGIS Pro | Documentation', 'chunk_sequence': 2}","Title: ArcGIS Pro help—ArcGIS Pro | Documentation
Tags: ArcGIS Pro 3.6
Author maps with [labels](/en/pro-app/3.6/help/mapping/text/labeling-basics.htm) , [symbols](/en/pro-app/3.6/help/mapping/layer-properties/symbolize-feature-layers.htm) , and [pop-ups](/en/pro-app/3.6/help/mapping/navigation/pop-ups.htm) . To display your data in a printable or exportable format, you can [create layouts](/en/pro-app/3.6/help/layouts/add-a-layout-to-your-project.htm) in your project. 
## Perform analysis and geoprocessing
 Geoprocessing provides a suite of tools for performing spatial analysis and managing GIS data in an automated way. Use ArcGIS Pro to analyze your data, manage GIS data, and build tools to automate your work or solve complex problems. [Find the geoprocessing tool](/en/pro-app/3.6/help/analysis/geoprocessing/basics/find-geoprocessing-tools.htm) that fits your analysis task, specify input and output dataset locations, adjust additional parameters that affect the process, and run the tool. ArcGIS Pro has many built-in tools, and you can [create custom tools](/en/pro-app/3.6/help/analysis/geoprocessing/basics/use-a-custom-geoprocessing-tool.htm) . Use [ModelBuilder](/en/pro-app/3.6/help/analysis/geoprocessing/modelbuilder/what-is-modelbuilder-.htm) to create a diagram or model of your spatial analysis or data management process. Automate your analysis, data conversion, data management, and mapping work by writing scripts with [Pythonand the ArcPy site package](/en/pro-app/3.6/arcpy/get-started/what-is-arcpy-.htm) ."
"{'tags': ['arcgis pro'], 'prod_version': 'ArcGIS Pro 3.6', 'published_date': '2025-09-24T00:00:00', 'indexed_date': '2026-03-16T09:49:20', 'source': 'https://pro.arcgis.com/en/pro-app/latest/help/main/welcome-to-the-arcgis-pro-app-help.htm', 'region': ['general'], 'title': 'ArcGIS Pro help—ArcGIS Pro | Documentation', 'chunk_sequence': 3}","Title: ArcGIS Pro help—ArcGIS Pro | Documentation
Tags: ArcGIS Pro 3.6
Add [extension products](/en/pro-app/3.6/get-started/overview-of-extensions-in-arcgis-pro.htm) to get additional analytical capabilities, including network, spatial, and geostatistical functions. 
## Manage and edit your data
 With ArcGIS Pro , you can create and edit many types of features, including cities, buildings, roads, forests, rivers, mountains, and any other spatial phenomena, and integrate data from many sources into your project. You can visualize the layers you are editing in 2D and 3D so that you can see them from all perspectives. [Design the schema](/en/pro-app/3.6/help/data/geodatabases/overview/view-and-edit-fields-domains-and-subtypes.htm) of your data to model your world. [Edit your data](/en/pro-app/3.6/help/editing/overview-of-desktop-editing.htm) to create, update, and maintain geospatial information that is stored and organized in layers. [Create features in a layer](/en/pro-app/3.6/help/editing/introduction-to-creating-2d-and-3d-features.htm) by drawing them in a map and [assigning attributes](/en/pro-app/3.6/help/editing/edit-feature-attributes.htm) to define their characteristics. [Update existing features](/en/pro-app/3.6/help/editing/introduction-to-modifying-features.htm) to reflect their current condition based on newly acquired data or information that comes from the field. Add the [Data Reviewer](/en/pro-app/3.6/help/data/validating-data/get-started-with-data-reviewer.htm) extension to perform validation checks on your data."
"{'tags': ['arcgis pro'], 'prod_version': 'ArcGIS Pro 3.6', 'published_date': '2025-09-24T00:00:00', 'indexed_date': '2026-03-16T09:49:20', 'source': 'https://pro.arcgis.com/en/pro-app/latest/help/main/welcome-to-the-arcgis-pro-app-help.htm', 'region': ['general'], 'title': 'ArcGIS Pro help—ArcGIS Pro | Documentation', 'chunk_sequence': 4}","Title: ArcGIS Pro help—ArcGIS Pro | Documentation
Tags: ArcGIS Pro 3.6
For enterprise-level job tracking capabilities, integrate Workflow Manager (Classic) into your organization. 
## Use tasks to streamline your work
 Through [tasks](/en/pro-app/3.6/help/tasks/whatistask.htm) , a GIS administrator can develop a series of steps that users can follow to ensure that work is executed based on standards in your organization. A task is a set of preconfigured steps that guide you and others through a workflow or business process. [Build tasks](/en/pro-app/3.6/help/tasks/design-a-task.htm) to perform any function in ArcGIS Pro . [Task steps](/en/pro-app/3.6/help/tasks/create-a-step.htm) can be performed manually—such as a checklist—or automatically. You can make steps required or optional. [Record your actions](/en/pro-app/3.6/help/tasks/create-a-step.htm#ESRI_SECTION1_8D7A8AE604244DE89E7BFFA041982CD7) to author a set of steps in a task. 
## Share your work
 Sharing your work is an important part of ArcGIS Pro . You can share everything from complete projects to maps, layers, and other components. To collaborate with others, you [share your projects as packages](/en/pro-app/3.6/help/sharing/overview/project-package.htm) to ArcGIS Online or your ArcGIS Enterprise portal. You can also package maps, layers, and other items. A package is a compressed file containing GIS data. [Web maps](/en/pro-app/3.6/help/sharing/overview/share-a-web-map.htm) can be reused in ArcGIS Pro and other ArcGIS apps, including in browsers and mobile devices."
"{'tags': ['arcgis pro'], 'prod_version': 'ArcGIS Pro 3.6', 'published_date': '2025-09-24T00:00:00', 'indexed_date': '2026-03-16T09:49:20', 'source': 'https://pro.arcgis.com/en/pro-app/latest/help/main/welcome-to-the-arcgis-pro-app-help.htm', 'region': ['general'], 'title': 'ArcGIS Pro help—ArcGIS Pro | Documentation', 'chunk_sequence': 5}","Title: ArcGIS Pro help—ArcGIS Pro | Documentation
Tags: ArcGIS Pro 3.6
Before you share your content, ArcGIS Pro can [analyze your work](/en/pro-app/3.6/help/sharing/overview/analyze-your-gis-resource.htm) to check for errors, issues, or recommendations for performance improvements. After you've created a map or layout, you may want to [share it as a file](/en/pro-app/3.6/help/sharing/overview/export-a-map-or-layout.htm) or [print it](/en/pro-app/3.6/help/sharing/overview/print-a-map-or-layout.htm) . You can export to several industry-standard file formats. 
## Access learning resources
 You can access resources to help you learn ArcGIS Pro in the following ways: On the start page, click the Learning Resources tab . In an open project, on the ribbon, click the Help tab. In the Help group, click Learning Resources . In an open project, click the Project tab. On the Settings page, in the list of side tabs, click Learning Resources . Learning resources include the following: [Quick-start tutorials](/en/pro-app/3.6/get-started/pro-quickstart-tutorials.htm) focus on essential workflows such as creating projects, symbolizing map layers, and making layouts. [Tutorial series](https://links.esri.com/learn-discovery-paths-arcgispro) curate thematically related tutorials, stories, articles, and videos. [What's New](/en/pro-app/3.6/get-started/whats-new-in-arcgis-pro.htm) summarizes functionality added at the latest product release."
"{'tags': ['arcgis pro'], 'prod_version': 'ArcGIS Pro 3.6', 'published_date': '2025-09-24T00:00:00', 'indexed_date': '2026-03-16T09:49:20', 'source': 'https://pro.arcgis.com/en/pro-app/latest/help/main/welcome-to-the-arcgis-pro-app-help.htm', 'region': ['general'], 'title': 'ArcGIS Pro help—ArcGIS Pro | Documentation', 'chunk_sequence': 6}","Title: ArcGIS Pro help—ArcGIS Pro | Documentation
Tags: ArcGIS Pro 3.6
[What's New](/en/pro-app/3.6/get-started/whats-new-in-arcgis-pro.htm) summarizes functionality added at the latest product release. [ArcGIS Blog](https://links.esri.com/arcgispro-blog) includes timely product announcements, how-to articles, and technical updates from Esri product engineers. [Help](/en/pro-app/3.6/get-started/get-started.htm) is your entry point to the ArcGIS Pro product documentation. [EsriAcademy](https://links.esri.com/esri-academy-arcgis-pro) provides self-study and instructor-led courses, training seminars, learning videos, and more. [Esri Community](https://community.esri.com/) is the site where you connect with other users, ask questions, share ideas, and collaborate to solve problems. Resources collected under the Coming from ArcMap heading help you make the transition to ArcGIS Pro . [Feedback on this topic?](/feedback/)"
"{'tags': ['arcgis gis server'], 'prod_version': 'ArcGIS GIS Server 11.3', 'published_date': '2025-11-03T00:00:00', 'indexed_date': '2026-03-16T09:49:20', 'source': 'https://support.esri.com/en-us/bug/the-arcgis-experience-builder-table-widget-does-not-ref-bug-000180654', 'region': ['general'], 'title': 'The ArcGIS Experience Builder Table widget does not reflect the decimal configured in the web map in ArcGIS Enterprise', 'chunk_sequence': 0}","Title: The ArcGIS Experience Builder Table widget does not reflect the decimal configured in the web map in ArcGIS Enterprise
Tags: ArcGIS GIS Server 11.3
| # | Bug ID Number | BUG-000180654 |
| --- | --- | --- |
|1 | Submitted | November 3, 2025 |
|2 | Last Modified | February 25, 2026 |
|3 | Applies to | ArcGIS GIS Server |
|4 | Version found | 11.3 |
|5 | Operating System | Windows Server |
|6 | Operating System Version | 2025 |
|7 | Version Fixed | 12.1 |
|8 | Status | Fixed   The bug has been fixed. See the Version Fixed and Additional Information, if applicable, for more information. |

 
## Workaround
 The Table widget in ArcGIS Experience Builder correctly displays decimal values configured in the web map when the 'Use layer settings' option is selected for 'Configure fields'. 
## Steps to Reproduce
"
